Recursive Factorial, Time, Factorial
1000,0.000019,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0
1000,0.000006,0

2000,0.000020,0
2000,0.000012,0
2000,0.000012,0
2000,0.000012,0
2000,0.000012,0
2000,0.000011,0
2000,0.000012,0
2000,0.000012,0
2000,0.000011,0
2000,0.000012,0
2000,0.000012,0
2000,0.000012,0
2000,0.000012,0
2000,0.000012,0
2000,0.000011,0
2000,0.000013,0
2000,0.000012,0
2000,0.000012,0
2000,0.000012,0
2000,0.000012,0
2000,0.000012,0
2000,0.000012,0
2000,0.000011,0
2000,0.000012,0
2000,0.000012,0

3000,0.000027,0
3000,0.000017,0
3000,0.000018,0
3000,0.000018,0
3000,0.000018,0
3000,0.000018,0
3000,0.000018,0
3000,0.000018,0
3000,0.000018,0
3000,0.000017,0
3000,0.000018,0
3000,0.000018,0
3000,0.000017,0
3000,0.000018,0
3000,0.000017,0
3000,0.000018,0
3000,0.000017,0
3000,0.000018,0
3000,0.000018,0
3000,0.000018,0
3000,0.000018,0
3000,0.000018,0
3000,0.000017,0
3000,0.000018,0
3000,0.000018,0

4000,0.000033,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000023,0
4000,0.000024,0
4000,0.000023,0
4000,0.000023,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000024,0
4000,0.000023,0
4000,0.000024,0
4000,0.000024,0
4000,0.000023,0
4000,0.000023,0
4000,0.000024,0
4000,0.000023,0
4000,0.000023,0
4000,0.000024,0
4000,0.000023,0
4000,0.000023,0
4000,0.000024,0
4000,0.000024,0

5000,0.000041,0
5000,0.000029,0
5000,0.000030,0
5000,0.000029,0
5000,0.000028,0
5000,0.000030,0
5000,0.000030,0
5000,0.000030,0
5000,0.000029,0
5000,0.000028,0
5000,0.000030,0
5000,0.000029,0
5000,0.000028,0
5000,0.000028,0
5000,0.000030,0
5000,0.000030,0
5000,0.000030,0
5000,0.000030,0
5000,0.000030,0
5000,0.000029,0
5000,0.000028,0
5000,0.000028,0
5000,0.000028,0
5000,0.000028,0
5000,0.000029,0

6000,0.000047,0
6000,0.000036,0
6000,0.000036,0
6000,0.000034,0
6000,0.000036,0
6000,0.000035,0
6000,0.000034,0
6000,0.000036,0
6000,0.000035,0
6000,0.000035,0
6000,0.000034,0
6000,0.000035,0
6000,0.000034,0
6000,0.000035,0
6000,0.000036,0
6000,0.000035,0
6000,0.000034,0
6000,0.000034,0
6000,0.000036,0
6000,0.000034,0
6000,0.000034,0
6000,0.000034,0
6000,0.000034,0
6000,0.000034,0
6000,0.000064,0

7000,0.000054,0
7000,0.000040,0
7000,0.000042,0
7000,0.000042,0
7000,0.000041,0
7000,0.000041,0
7000,0.000040,0
7000,0.000042,0
7000,0.000040,0
7000,0.000040,0
7000,0.000041,0
7000,0.000040,0
7000,0.000041,0
7000,0.000041,0
7000,0.000040,0
7000,0.000040,0
7000,0.000040,0
7000,0.000042,0
7000,0.000040,0
7000,0.000042,0
7000,0.000040,0
7000,0.000042,0
7000,0.000040,0
7000,0.000040,0
7000,0.000043,0

8000,0.000062,0
8000,0.000045,0
8000,0.000045,0
8000,0.000046,0
8000,0.000046,0
8000,0.000047,0
8000,0.000045,0
8000,0.000045,0
8000,0.000045,0
8000,0.000046,0
8000,0.000046,0
8000,0.000048,0
8000,0.000047,0
8000,0.000046,0
8000,0.000046,0
8000,0.000046,0
8000,0.000049,0
8000,0.000054,0
8000,0.000048,0
8000,0.000045,0
8000,0.000048,0
8000,0.000045,0
8000,0.000045,0
8000,0.000046,0
8000,0.000047,0

9000,0.000063,0
9000,0.000052,0
9000,0.000056,0
9000,0.000054,0
9000,0.000052,0
9000,0.000051,0
9000,0.000051,0
9000,0.000053,0
9000,0.000055,0
9000,0.000054,0
9000,0.000052,0
9000,0.000051,0
9000,0.000051,0
9000,0.000051,0
9000,0.000053,0
9000,0.000052,0
9000,0.000051,0
9000,0.000053,0
9000,0.000052,0
9000,0.000052,0
9000,0.000051,0
9000,0.000052,0
9000,0.000053,0
9000,0.000051,0
9000,0.000051,0

10000,0.000073,0
10000,0.000060,0
10000,0.000058,0
10000,0.000060,0
10000,0.000057,0
10000,0.000057,0
10000,0.000062,0
10000,0.000059,0
10000,0.000057,0
10000,0.000061,0
10000,0.000057,0
10000,0.000061,0
10000,0.000059,0
10000,0.000057,0
10000,0.000063,0
10000,0.000062,0
10000,0.000058,0
10000,0.000057,0
10000,0.000060,0
10000,0.000057,0
10000,0.000058,0
10000,0.000057,0
10000,0.000059,0
10000,0.000061,0
10000,0.000057,0

11000,0.000078,0
11000,0.000063,0
11000,0.000063,0
11000,0.000063,0
11000,0.000067,0
11000,0.000066,0
11000,0.000063,0
11000,0.000067,0
11000,0.000066,0
11000,0.000063,0
11000,0.000068,0
11000,0.000063,0
11000,0.000063,0
11000,0.000064,0
11000,0.000063,0
11000,0.000064,0
11000,0.000099,0
11000,0.000064,0
11000,0.000066,0
11000,0.000064,0
11000,0.000064,0
11000,0.000067,0
11000,0.000064,0
11000,0.000065,0
11000,0.000064,0

12000,0.000085,0
12000,0.000070,0
12000,0.000069,0
12000,0.000069,0
12000,0.000069,0
12000,0.000074,0
12000,0.000072,0
12000,0.000069,0
12000,0.000071,0
12000,0.000072,0
12000,0.000069,0
12000,0.000068,0
12000,0.000069,0
12000,0.000069,0
12000,0.000072,0
12000,0.000069,0
12000,0.000069,0
12000,0.000070,0
12000,0.000069,0
