n, Time, Factorial
1000,0.002154,0
1000,0.000004,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0
1000,0.000003,0

4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000006,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000007,0
4000,0.000006,0
4000,0.000007,0
4000,0.000007,0

7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000814,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0
7000,0.000010,0

10000,0.000014,0
10000,0.000014,0
10000,0.000014,0
10000,0.000013,0
10000,0.000014,0
10000,0.000014,0
10000,0.000014,0
10000,0.000023,0
10000,0.000014,0
10000,0.000014,0
10000,0.000014,0
10000,0.000013,0
10000,0.000014,0
10000,0.000014,0
10000,0.000014,0
10000,0.000014,0
10000,0.000014,0
10000,0.000014,0
10000,0.000014,0
10000,0.000013,0
10000,0.000014,0
10000,0.000014,0
10000,0.000013,0
10000,0.000013,0
10000,0.000014,0

13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000030,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0
13000,0.000017,0

16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000021,0
16000,0.000172,0

19000,0.000024,0
19000,0.000024,0
