Particle Size, Serial Sim Approximation, Time, Error, Abs Error
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
0,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
1000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
2000,-nan,0.000000,-nan,nan
3000,-nan,0.000000,-nan,nan
3000,-nan,0.000000,-nan,nan
3000,-nan,0.000000,-nan,nan
3000,-nan,0.000000,-nan,nan
3000,-nan,0.000000,-nan,nan
